max_x : 50821, max_y: 50750, min_x: -50472, min_y: -50499
max_x : 50816, max_y: 50745, min_x: -50467, min_y: -50494
max_x : 50811, max_y: 50740, min_x: -50462, min_y: -50489
max_x : 50806, max_y: 50735, min_x: -50457, min_y: -50484
max_x : 50801, max_y: 50730, min_x: -50452, min_y: -50479
max_x : 50796, max_y: 50725, min_x: -50447, min_y: -50474
max_x : 50791, max_y: 50720, min_x: -50442, min_y: -50469
max_x : 50786, max_y: 50715, min_x: -50437, min_y: -50464
max_x : 50781, max_y: 50710, min_x: -50432, min_y: -50459
max_x : 50776, max_y: 50705, min_x: -50427, min_y: -50454
max_x : 50771, max_y: 50700, min_x: -50422, min_y: -50449
max_x : 50766, max_y: 50695, min_x: -50417, min_y: -50444
max_x : 50761, max_y: 50690, min_x: -50412, min_y: -50439
max_x : 50756, max_y: 50685, min_x: -50407, min_y: -50434
max_x : 50751, max_y: 50680, min_x: -50402, min_y: -50429
max_x : 50746, max_y: 50675, min_x: -50397, min_y: -50424
max_x : 50741, max_y: 50670, min_x: -50392, min_y: -50419
max_x : 50736, max_y: 50665, min_x: -50387, min_y: -50414
max_x : 50731, max_y: 50660, min_x: -50382, min_y: -50409
max_x : 50726, max_y: 50655, min_x: -50377, min_y: -50404
max_x : 50721, max_y: 50650, min_x: -50372, min_y: -50399
max_x : 50716, max_y: 50645, min_x: -50367, min_y: -50394
max_x : 50711, max_y: 50640, min_x: -50362, min_y: -50389
max_x : 50706, max_y: 50635, min_x: -50357, min_y: -50384
max_x : 50701, max_y: 50630, min_x: -50352, min_y: -50379
max_x : 50696, max_y: 50625, min_x: -50347, min_y: -50374
max_x : 50691, max_y: 50620, min_x: -50342, min_y: -50369
max_x : 50686, max_y: 50615, min_x: -50337, min_y: -50364
max_x : 50681, max_y: 50610, min_x: -50332, min_y: -50359
max_x : 50676, max_y: 50605, min_x: -50327, min_y: -50354
max_x : 50671, max_y: 50600, min_x: -50322, min_y: -50349
max_x : 50666, max_y: 50595, min_x: -50317, min_y: -50344
max_x : 50661, max_y: 50590, min_x: -50312, min_y: -50339
max_x : 50656, max_y: 50585, min_x: -50307, min_y: -50334
max_x : 50651, max_y: 50580, min_x: -50302, min_y: -50329
max_x : 50646, max_y: 50575, min_x: -50297, min_y: -50324
max_x : 50641, max_y: 50570, min_x: -50292, min_y: -50319
max_x : 50636, max_y: 50565, min_x: -50287, min_y: -50314
max_x : 50631, max_y: 50560, min_x: -50282, min_y: -50309
max_x : 50626, max_y: 50555, min_x: -50277, min_y: -50304
max_x : 50621, max_y: 50550, min_x: -50272, min_y: -50299
max_x : 50616, max_y: 50545, min_x: -50267, min_y: -50294
max_x : 50611, max_y: 50540, min_x: -50262, min_y: -50289
max_x : 50606, max_y: 50535, min_x: -50257, min_y: -50284
max_x : 50601, max_y: 50530, min_x: -50252, min_y: -50279
max_x : 50596, max_y: 50525, min_x: -50247, min_y: -50274
max_x : 50591, max_y: 50520, min_x: -50242, min_y: -50269
